seed_id,operator,owner_class,municipio_key,estado,announce_date,n_matches,gate,registro_ids,cenace_mw,mw_clash,url,source_id,notes
tesla_santa_catarina_2023,Tesla Inc. (Gigafactory Mexico),us,santa catarina,Nuevo León,2023-03-01,7,contested,SCCC-00462-2023|SCCC-00512-2023|SCCC-00500-2023|SCCC-00501-2023|SCCC-01028-2023|SCCC-01100-2023|SCCC-01107-2023,4.0|0.18|0.359|0.9|7.5|54.0|60.0,,https://www.reuters.com/business/autos-transportation/mexico-gives-tesla-land-use-permits-gigafactory-says-state-government-2023-12-13/,reuters_tesla_permits_2023,Investor-day announcement 1 March 2023; site between Santa Catarina and García. Expect contested: many Santa Catarina load rows.
lgmg_marin_2023,LGMG (Lingong Machinery Group),prc,marin,Nuevo León,2023-10-16,1,probable,SCCC-00892-2024,28.5,,https://www.reuters.com/business/chinas-lingong-mexico-plant-generate-5-billion-investment-2023-10-16/,reuters_lgmg_2023,Reuters names the industrial-park plan; Marin is from the Nuevo León bulletin. Existing codebook row if unique.
aws_pedro_escobedo_2024,Amazon Web Services (AWS),us,pedro escobedo,Querétaro,2024-02-27,1,probable,SCCC-00144-2025,71.0,,https://queretaro.quadratin.com.mx/centro-de-datos-de-amazon-estara-en-pedro-escobedo-colon-y-el-marques/,quadratin_aws_qro_2024,State SEDESU: AWS campus buildings in Pedro Escobedo Colón and El Marqués. Pedro Escobedo is seeded alone because that municipio is the uniqueness test.
hisense_salinas_victoria_2021,Hisense,prc,salinas victoria,Nuevo León,2021-03-02,0,none,,,,https://www.eleconomista.com.mx/empresas/Hisense-invertira-260-millones-de-dolares-en-una-planta-de-electrodomesticos-en-Nuevo-Leon-20210302-0074.html,eleconomista_hisense_2021,Plant inside Hofusan park. Expect contested. Do not treat the park as the owner.
cfmoto_apodaca_2023,CFMOTO (Zhejiang CFMOTO Power),prc,apodaca,Nuevo León,2023-07-20,8,contested,SCCC-00140-2023|SCCC-00184-2023|SCCC-00229-2023|SCCC-00436-2023|SCCC-00390-2024|SCCC-00614-2024|SCCC-01061-2023|SCCC-01159-2023,0.05|0.72|7.8|7.8|36.0|0.745|27.0|27.0,,https://www.nl.gob.mx/es/boletines/llega-mas-inversion-nl-cfmoto-inaugura-en-el-estado-su-primera-planta-en-mexico,nl_gob_cfmoto_2023,Official NL bulletin. Apodaca has many load rows. Expect contested.
xcmg_cienega_2024,XCMG,prc,cienega de flores,Nuevo León,2024-02-14,2,contested,SCCC-00057-2024|SCCC-00154-2024,15.74|36.0,,https://mexicoindustry.com/noticia/anuncia-xcmg-nueva-planta-en-nuevo-leon,mexicoindustry_xcmg_2024,Second XCMG plant announced for Ciénega de Flores. Expect contested.
bsh_salinas_victoria_2024,BSH Home Appliances (Bosch Group),other,salinas victoria,Nuevo León,2024-08-12,2,contested,SCCC-00376-2025|SCCC-00646-2025,2.2|100.0,,https://mexicosmt.com/nuevo-leon-inaugurates-mexicos-first-refrigerator-appliance-plant-by-bosch-bsh-home-appliance-group/,mexicosmt_bsh_2024,German operator. Same municipio as Hisense. Expect contested. Class is Other not U.S. or PRC.
hofusan_salinas_victoria_2024,Hofusan Industrial Park,prc,salinas victoria,Nuevo León,2024-09-28,3,contested,SCCC-00118-2026|SCCC-00376-2025|SCCC-00646-2025,4.5|2.2|100.0,,https://www.eleconomista.com.mx/estados/hofusan-industrial-park-proyecta-inversiones-1-000-millones-dolares-nl-20240928-727864.html,eleconomista_hofusan_2024,Park not a factory. Seeded so the engine records a collision. Never promote park megawatts.
cloudhq_colon_2023,CloudHQ,us,colon,Querétaro,2023-09-14,1,probable,SCCC-00427-2024,28.5,seed_reported_mw=190.26; cenace_mw=28.5,https://www.eleconomista.com.mx/estados/Queretaro-afianza-la-instalacion-de-16-centros-de-datos-20230914-0057.html,eleconomista_colon_dc_2023,Colon campus reported near 280 MW contracted; 190.26 MW later appears as a queue row. Colon has several load rows. Expect contested. Do not color from a campus story.
borgwarner_slp_2023,BorgWarner,us,san luis potosi,San Luis Potosí,2023-07-06,1,probable,SCCC-00816-2024,19.5,,https://www.borgwarner.com/docs/default-source/press-release-downloads/borgwarner-announce-investment-in-san-luis-potosi-to-expand-production-capabilities-of-emobility-technologies.pdf?sfvrsn=91fdc43d_1,borgwarner_pr_2023,Company PR: new e-mobility plant at WTC 2 in San Luis Potosí. Capital municipio is crowded. Expect contested or none.
odata_el_marques_2025,ODATA (Aligned Data Centers),us,el marques,Querétaro,2025-02-27,1,probable,SCCC-00140-2026,150.0,seed_reported_mw=200.0; cenace_mw=150.0,https://aligneddc.com/blog/odata-announces-energization-of-mexicos-largest-data-center-campus-solving-energy-scarcity-for-the-development-of-data-centers-in-queretaro/,aligned_odata_qr03_2025,Aligned (U.S.) parent of ODATA. DCD also places QR03 in El Marqués. Several U.S. operators share that municipio. Human must not promote even if the gate returns one row.
